BOROUGH,LATITUDE,LONGITUDE,Filing Date,Issuance Date,Expiration Date,Permit Status,Job Type,Residential,Non-Profit,Owner's Business Name,Site Fill,Street Name
MANHATTAN,40.800664,-73.969255,2018-11-15,2018-11-15,2019-06-02,ISSUED,A2,YES,N,910 W E A REALTY LLC,NOT APPLICABLE,WEST END AVE
BROOKLYN,40.616108,-73.993246,2018-11-15,2018-11-15,2018-12-19,ISSUED,A2,,N,EASTERN FURNITURE INC.,NOT APPLICABLE,18 AVE
BROOKLYN,40.60982,-73.925249,2018-11-15,2018-11-15,2019-11-15,ISSUED,A2,YES,N,2132 COLEMAN ST LLC,NOT APPLICABLE,COLEMAN STREET
MANHATTAN,40.716767,-74.008254,2018-11-15,2018-11-15,2019-11-15,ISSUED,A2,YES,N,134 WEST BROADWAY LLC,NOT APPLICABLE,WEST BROADWAY
QUEENS,40.776834,-73.9355,2018-11-15,2018-11-15,2019-11-15,ISSUED,A2,YES,N,"HALLETS ASTORIA, LLC",NOT APPLICABLE,1ST STREET
BROOKLYN,40.6822,-73.957502,2018-10-12,2018-10-12,2018-12-11,ISSUED,A2,YES,N,30 - 32 CLAVER PLACE LLC,NOT APPLICABLE,CLAVER PLACE
MANHATTAN,40.735171,-74.00192,2018-11-15,2018-11-15,2019-06-02,ISSUED,A2,YES,N,"S.W. MANAGEMENT, LLC",NOT APPLICABLE,7TH AVENUE SOUTH
QUEENS,40.717748,-73.750468,2018-10-12,2018-10-12,2019-10-12,ISSUED,A2,YES,N,,NOT APPLICABLE,211 STREET
BROOKLYN,40.686434,-73.955289,2018-10-12,2018-10-12,2019-05-09,ISSUED,NB,YES,N,149 QUINCY DEVELOPMENT LLC,USE UNDER 300 CU.YD,QUINCY STREET
MANHATTAN,40.753992,-73.99983,2018-11-15,2018-11-15,2019-06-30,ISSUED,A2,,N,ERY RETAIL PODIUM LLC C/O THE RE,NOT APPLICABLE,WEST 33RD STREET
MANHATTAN,40.753992,-73.99983,2018-11-15,2018-11-15,2019-06-30,ISSUED,A2,,N,ERY RETAIL PODIUM LLC C/O THE RE,,WEST 33RD STREET
BRONX,40.820434,-73.890986,2018-11-15,2018-11-15,2019-11-15,ISSUED,A2,,N,BDG CONSTRUCTION CORP,,HUNTS POINT AVENUE
QUEENS,40.67778,-73.851269,2019-05-31,2019-05-31,2019-08-07,ISSUED,A2,YES,N,8620 107TH AVENUE,NOT APPLICABLE,107TH AVENUE
QUEENS,40.777105,-73.909496,2019-05-31,2019-06-04,2019-09-22,ISSUED,A3,,N,NYC DEPARTMENT OF DESIGN AND CON,,31ST STREET
MANHATTAN,40.755352,-73.983732,2019-01-24,2019-01-24,2019-12-31,ISSUED,A2,,N,BROOKFIELD PROPERTY PARTNERS,NOT APPLICABLE,AVENUE OF THE AMERICAS
BROOKLYN,40.702406,-73.985949,2018-10-12,2018-10-12,2018-12-15,ISSUED,NB,YES,N,DUMBO ASSEMBLAGE LLC,ON-SITE,FRONT STREET
MANHATTAN,40.84424,-73.937455,2018-11-15,2018-11-20,2019-09-13,ISSUED,A2,YES,N,BRONSTEIN PROPERTIES LLC,NOT APPLICABLE,ST NICHOLAS  AVENUE
BROOKLYN,40.635593,-74.01127,2018-11-15,2018-11-15,2019-04-26,ISSUED,A2,,N,,NOT APPLICABLE,61 STREET
MANHATTAN,40.813312,-73.953101,2018-11-15,2018-11-15,2019-02-12,ISSUED,NB,YES,N,17 COVENT LLC,OFF-SITE,CONVENT AVENUE
QUEENS,40.749222,-73.940706,2018-11-15,2018-11-15,2019-06-14,ISSUED,A2,,N,BOUVANT STUART LLC,NOT APPLICABLE,27TH STREET
MANHATTAN,40.780028,-73.950168,2018-10-12,2018-10-12,2019-10-10,ISSUED,A2,YES,N,DEVOM LLC,NOT APPLICABLE,2ND AVENUE
BROOKLYN,40.635593,-74.01127,2018-11-15,2018-11-15,2019-04-26,ISSUED,A2,,N,,NOT APPLICABLE,61 STREET
QUEENS,40.756336,-73.775583,2018-10-12,2018-10-12,2019-10-12,ISSUED,NB,,N,,ON-SITE,46TH AVENUE
BROOKLYN,40.635593,-74.01127,2018-11-15,2018-11-15,2019-11-15,ISSUED,A2,,N,,NOT APPLICABLE,61 STREET
BROOKLYN,40.63646,-74.008572,2018-11-15,2018-11-15,2019-04-26,ISSUED,A2,,N,HUNG WEI ENTERPRISE CORP.,NOT APPLICABLE,8 AVENUE
STATEN ISLAND,40.602896,-74.131459,2018-11-15,2018-11-15,2019-04-26,ISSUED,A2,YES,N,,NOT APPLICABLE,BRADLEY AVENUE
MANHATTAN,40.753992,-73.99983,2018-11-15,2018-11-15,2019-04-13,ISSUED,A2,,N,ERY RETAIL PODIUM LLC C/O THE RE,NOT APPLICABLE,WEST 33RD STREET
QUEENS,40.572019,-73.85857,2018-11-15,2018-11-15,2019-11-15,ISSUED,A1,YES,N,,NOT APPLICABLE,BEACH 142 STREET
BROOKLYN,40.669499,-73.990469,2018-11-15,2018-11-15,2019-11-15,ISSUED,A2,YES,N,AM/MAP FIRST LLC,NOT APPLICABLE,11 STREET
MANHATTAN,40.753992,-73.99983,2018-11-15,2018-11-15,2019-04-13,ISSUED,A2,,N,ERY RETAIL PODIUM LLC C/O THE RE,,WEST 33RD STREET
STATEN ISLAND,40.602896,-74.131459,2018-11-15,2018-11-15,2019-11-15,ISSUED,A2,YES,N,,NOT APPLICABLE,BRADLEY AVENUE
MANHATTAN,40.753992,-73.99983,2018-11-15,2018-11-15,2019-04-13,ISSUED,A2,,N,ERY RETAIL PODIUM LLC C/O THE RE,,WEST 33RD STREET
QUEENS,40.756337,-73.775586,2018-10-12,2018-10-12,2019-10-12,ISSUED,NB,YES,N,,ON-SITE,46TH AVENUE
BROOKLYN,40.674932,-73.976682,2018-11-15,2018-11-15,2019-11-15,ISSUED,A2,,N,PARK SLOPE FOOD COOP,NOT APPLICABLE,UNION STREET
MANHATTAN,40.757891,-73.961948,2018-11-15,2018-11-15,2019-02-09,ISSUED,A2,YES,N,440 EAST 57 OWNERS CORP,NOT APPLICABLE,EAST 57TH STREET
BROOKLYN,40.696816,-73.934914,2018-11-15,2018-11-15,2019-05-06,ISSUED,A3,,N,957 SANG CORPORATION,,BROADWAY
QUEENS,40.728252,-73.888207,2018-11-15,2018-11-15,2019-11-15,ISSUED,A2,YES,N,,NOT APPLICABLE,73RD PLACE
MANHATTAN,40.729457,-73.98104,2018-11-15,2018-11-15,2019-11-15,ISSUED,A2,YES,N,HPG 202 AVENUE A LLC,NOT APPLICABLE,AVENUE A
QUEENS,40.604326,-73.74572,2018-11-15,2018-11-15,2019-05-16,ISSUED,NB,,Y,SIACH YITZCHOK,NONE,BEACH    9 STREET
MANHATTAN,40.777194,-73.95985,2018-11-15,2018-11-15,2019-11-15,ISSUED,A3,YES,N,PARK 81ST CORP.,,PARK AVENUE
MANHATTAN,40.762861,-73.983109,2018-11-15,2018-11-15,2019-02-15,ISSUED,A2,,N,"EMMES REALTY SERVICES, LLC",NOT APPLICABLE,BROADWAY
BROOKLYN,40.669948,-73.959146,2018-11-15,2018-11-15,2019-11-15,ISSUED,NB,,N,1000 UNION LLC,,UNION STREET
QUEENS,40.683366,-73.849205,2019-01-24,2019-01-24,2019-09-30,ISSUED,DM,,N,SGNR PROPERTIES LLC,ON-SITE,101 AVENUE
MANHATTAN,40.755352,-73.983732,2019-01-24,2019-01-24,2019-12-31,ISSUED,A2,,N,BROOKFIELD PROPERTY PARTNERS,,AVENUE OF THE AMERICAS
BROOKLYN,40.68967,-73.955154,2019-06-03,2019-06-03,2019-10-25,ISSUED,A2,,Y,TALMUD TORAH D'NITRA,NOT APPLICABLE,BEDFORD AVENUE
QUEENS,40.755355,-73.834319,2019-01-24,2019-01-24,2019-10-11,ISSUED,NB,YES,N,41 HAIGHT STREET TOWNHOUSE LLC,ON-SITE,HAIGHT STREET
QUEENS,40.756336,-73.775583,2018-10-12,2018-10-12,2019-10-12,ISSUED,NB,YES,N,MC TIMES REALTY LLC,ON-SITE,46TH AVENUE
BROOKLYN,40.702406,-73.985949,2018-10-12,2018-10-12,2019-10-12,ISSUED,NB,,N,DUMBO ASSEMBLAGE LLC,,FRONT STREET
MANHATTAN,40.744821,-73.987207,2018-11-15,2018-11-15,2019-11-15,ISSUED,A3,,N,COSMIC REALTY PARTNERS LLC,,5 AVENUE
QUEENS,40.684511,-73.855804,2018-11-15,2018-11-20,2019-10-02,ISSUED,A2,YES,N,DREAL ASSOCIATES LLC,NOT APPLICABLE,85 STREET
QUEENS,40.696427,-73.773004,2018-11-15,2018-11-27,2019-07-19,ISSUED,A2,YES,N,,NOT APPLICABLE,178 PL
MANHATTAN,40.758612,-73.983233,2018-11-15,2018-11-15,2019-10-01,ISSUED,A2,YES,N,ROY-AL COMPANY/A&R KALIMAN LLC,NOT APPLICABLE,WEST 47TH STREET
QUEENS,40.696427,-73.773004,2018-11-15,2018-12-03,2019-12-03,ISSUED,A2,YES,N,,NOT APPLICABLE,178 PL
STATEN ISLAND,40.62452,-74.148922,2018-11-15,2018-11-15,2019-11-15,ISSUED,A2,,N,940 REALTY LLC,NOT APPLICABLE,RICHMOND AVENUE
QUEENS,40.713356,-73.830106,2018-11-15,2018-11-15,2019-11-15,ISSUED,A2,YES,N,TRIANGLE ASSOCIATES LP,NOT APPLICABLE,KEW GARDENS ROAD
QUEENS,40.744023,-73.85849,2018-11-15,2018-11-15,2019-11-15,ISSUED,NB,YES,N,HUAMING INC.,USE UNDER 300 CU.YD,CORONA AVENUE
BROOKLYN,40.575419,-74.009888,2018-11-15,2018-11-15,2019-02-24,ISSUED,A1,YES,N,,NOT APPLICABLE,ATLANTIC AVENUE
MANHATTAN,40.758465,-73.970914,2018-11-15,2018-11-15,2019-11-01,ISSUED,A2,,N,"BOSTON PROPERTIES, INC.",,LEXINGTON AVENUE
BROOKLYN,40.637319,-73.971568,2018-11-15,2018-11-15,2019-05-01,ISSUED,A2,YES,N,HUMAN CARE SERVICES FOR FAMILY &,NOT APPLICABLE,EAST 7TH STREET
BROOKLYN,40.575419,-74.009888,2018-11-15,2018-11-15,2019-11-15,ISSUED,A1,YES,N,,NOT APPLICABLE,ATLANTIC AVENUE
STATEN ISLAND,40.595047,-74.103188,2018-11-15,2018-11-15,2019-10-09,ISSUED,A1,YES,N,CESARE PROFETTA,NOT APPLICABLE,NORDEN STREET
MANHATTAN,40.768591,-73.963841,2018-11-15,2018-11-15,2019-11-15,ISSUED,A2,YES,N,"BLONDMAN BARRON, LLC",NOT APPLICABLE,EAST 69TH STREET
MANHATTAN,40.757114,-73.983494,2018-11-15,2018-11-15,2019-11-14,ISSUED,A2,,N,119 W 45TH STREET MANAGEMENT,,WEST 45TH STREET
MANHATTAN,40.735127,-73.977469,2018-11-15,2018-11-15,2019-11-15,ISSUED,A2,YES,N,STUYTOWN PROPERTY SERVICES,NOT APPLICABLE,PETER COOPER ROAD
MANHATTAN,40.796457,-73.936503,2018-11-15,2018-11-15,2019-10-08,ISSUED,A2,YES,N,,NOT APPLICABLE,EAST 116TH STREET
QUEENS,40.737707,-73.902766,2018-11-15,2018-11-15,2019-11-15,ISSUED,A1,YES,N,,NOT APPLICABLE,63 ST
MANHATTAN,40.75938,-73.97823,2018-11-15,2018-11-15,2019-11-15,ISSUED,A2,,N,"RCPI LANDMARK PROPERTIES, LLC",,ROCKEFELLER PLAZA
QUEENS,40.756337,-73.775586,2018-10-12,2018-10-12,2019-10-12,ISSUED,NB,,N,,ON-SITE,46TH AVENUE
QUEENS,40.598268,-73.819765,2018-11-15,2018-11-15,2019-07-15,ISSUED,DM,,N,PROJECT REBUILD INC,USE UNDER 300 CU.YD,DEMEREST ROAD
STATEN ISLAND,40.595332,-74.067706,2018-11-15,2018-11-15,2019-10-23,ISSUED,A2,YES,N,,NOT APPLICABLE,MILLS AVENUE
BRONX,40.884724,-73.861232,2019-01-24,2019-01-24,2019-09-28,ISSUED,NB,YES,N,TWO HUNDRED TWENTY NINE LLC,OFF-SITE,EAST 221 ST
QUEENS,40.752257,-73.708016,2019-01-24,2019-01-24,2019-06-30,ISSUED,A2,,Y,NORTH SHORE LIJ MEDICAL CENTER /,NOT APPLICABLE,76 AVE
MANHATTAN,40.74485,-73.982977,2018-11-15,2018-11-15,2019-11-15,ISSUED,A2,,N,MADISON SIXTY LLC,NOT APPLICABLE,PARK AVENUE SOUTH
QUEENS,40.782345,-73.818555,2018-10-12,2018-10-12,2019-10-12,ISSUED,NB,YES,N,,USE UNDER 300 CU.YD,19TH AVE
MANHATTAN,40.75938,-73.97823,2018-11-15,2018-11-15,2019-11-15,ISSUED,A2,,N,"RCPI LANDMARK PROPERTIES, LLC",,ROCKEFELLER PLAZA
MANHATTAN,40.765636,-73.967824,2018-11-15,2018-11-15,2019-04-02,ISSUED,A2,YES,N,580 PARK AVENUE INC,NOT APPLICABLE,PARK AVENUE
BRONX,40.861014,-73.899093,2018-11-15,2018-11-15,2019-10-14,ISSUED,A2,YES,N,DAKA HOLDINGS LLC,NOT APPLICABLE,CRESTON AVENUE
QUEENS,40.743168,-73.936568,2018-11-15,2018-11-15,2019-01-24,ISSUED,A2,,N,FACTORY LESSOR LLC/ATLAS CAPITAL,NOT APPLICABLE,47TH AVENUE
MANHATTAN,40.738244,-73.989423,2018-11-15,2018-11-15,2019-02-15,ISSUED,A2,YES,N,,NOT APPLICABLE,EAST 19TH STREET
BROOKLYN,40.69891,-73.996037,2019-01-24,2019-01-24,2019-04-27,ISSUED,A2,YES,N,"334 E 79TH STREET, LLC",NOT APPLICABLE,COLUMBIA HEIGHTS
QUEENS,40.752257,-73.708016,2019-01-24,2019-01-24,2019-06-30,ISSUED,A2,,Y,NORTH SHORE LIJ MEDICAL CENTER /,,76 AVE
BRONX,40.884724,-73.861232,2019-01-24,2019-01-24,2019-09-28,ISSUED,NB,YES,N,TWO HUNDRED TWENTY NINE LLC,OFF-SITE,EAST 221 ST
STATEN ISLAND,40.615565,-74.086269,2019-01-24,2019-02-20,2019-06-08,ISSUED,A2,YES,N,DELOS DEVELOPMENT NY LLC,NOT APPLICABLE,HILLSIDE AVENUE
BROOKLYN,40.631781,-73.884902,2018-11-15,2018-11-15,2019-11-16,ISSUED,A2,YES,N,NYCHA CAPITAL PROJECTS,NOT APPLICABLE,SHORE PARKWAY
MANHATTAN,40.745092,-73.982804,2018-12-24,2018-12-24,2019-12-24,ISSUED,A2,,N,"460 PARK ASSOCIATES, LLC",,PARK AVENUE SOUTH
MANHATTAN,40.756435,-73.979967,2018-11-15,2018-11-15,2019-11-15,ISSUED,A2,,N,21 WEST 46TH STREET LLC,NOT APPLICABLE,WEST 46TH STREET
MANHATTAN,40.84424,-73.937455,2018-11-15,2018-11-20,2019-11-20,ISSUED,A2,YES,N,BRONSTEIN PROPERTIES LLC,NOT APPLICABLE,ST NICHOLAS  AVENUE
BROOKLYN,40.64726,-73.881114,2018-11-15,2018-11-15,2019-11-15,ISSUED,A2,,N,NYC SCHOOL CONSTR. AUTHORITY,NOT APPLICABLE,PENNSYLVANIA AVENUE
MANHATTAN,40.738244,-73.989423,2018-11-15,2018-11-15,2019-02-15,ISSUED,A2,,N,,,EAST 19TH STREET
BROOKLYN,40.657812,-74.005698,2018-11-15,2018-11-15,2019-02-01,ISSUED,A2,,Y,19-20 BUSH TERMINAL OWNER LP,NOT APPLICABLE,33RD  STREET
QUEENS,40.752257,-73.708016,2019-01-24,2019-01-24,2019-06-30,ISSUED,A2,,Y,NORTH SHORE LIJ MEDICAL CENTER /,,76 AVE
BRONX,40.884724,-73.861232,2019-01-24,2019-01-24,2019-09-28,ISSUED,NB,YES,N,TWO HUNDRED TWENTY NINE LLC,OFF-SITE,EAST 221 ST
QUEENS,40.752089,-73.823802,2018-11-15,2018-11-15,2019-06-02,ISSUED,A2,YES,N,THE LAFAYETTE APTS INC,NOT APPLICABLE,ELDER AVE
BROOKLYN,40.689537,-73.957054,2018-11-15,2018-11-16,2019-05-15,ISSUED,A1,YES,N,287 FRANKLIN NY LLC,NOT APPLICABLE,FRANKLIN AVE
QUEENS,40.781674,-73.828444,2018-11-15,2018-11-15,2019-11-15,ISSUED,A2,,N,"PETRACCA & SONS, INC.",,20 AVE
BROOKLYN,40.689537,-73.957054,2018-11-15,2018-11-16,2019-05-15,ISSUED,A1,YES,N,287 FRANKLIN NY LLC,NOT APPLICABLE,FRANKLIN AVE
BROOKLYN,40.70899,-73.959577,2018-11-15,2018-11-15,2019-11-15,ISSUED,A2,YES,N,246-248 BROADWAY CORP,NOT APPLICABLE,BROADWAY
QUEENS,40.781674,-73.828444,2018-11-15,2018-11-15,2019-11-15,ISSUED,A2,,N,"PETRACCA & SONS, INC.",,20 AVE
BROOKLYN,40.689537,-73.957054,2018-11-15,2018-11-16,2019-05-15,ISSUED,A1,YES,N,287 FRANKLIN NY LLC,NOT APPLICABLE,FRANKLIN AVE
QUEENS,40.726398,-73.840719,2018-11-15,2018-11-15,2019-09-12,ISSUED,A1,YES,N,,USE UNDER 300 CU.YD,69 AVENUE
MANHATTAN,40.746092,-74.002422,2018-10-12,2018-10-12,2018-12-01,ISSUED,A2,,N,,,WEST 22ND STREET
QUEENS,40.751356,-73.937445,2018-11-15,2018-11-15,2019-11-15,ISSUED,A2,,N,NYC SCA,NOT APPLICABLE,41ST AVENUE
STATEN ISLAND,40.561288,-74.181363,2019-01-24,2019-01-24,2019-05-24,ISSUED,A2,YES,N,,NOT APPLICABLE,GARY STREET
BROOKLYN,40.68967,-73.955154,2019-06-03,2019-06-03,2019-10-21,ISSUED,A2,,Y,TALMUD TORAH D'NITRA,NOT APPLICABLE,BEDFORD AVENUE
MANHATTAN,40.780337,-73.984102,2018-10-12,2018-10-12,2019-04-17,ISSUED,A2,YES,N,,NOT APPLICABLE,WEST END AVENUE
MANHATTAN,40.772415,-73.966525,2019-01-24,2019-02-06,2019-04-30,ISSUED,A2,YES,N,,NOT APPLICABLE,FIFTH AVENUE
BRONX,40.826525,-73.907734,2019-01-24,2019-04-17,2019-10-18,ISSUED,A2,YES,N,F&S 3339 LLC,NOT APPLICABLE,3RD AVENUE
MANHATTAN,40.749076,-73.975682,2019-01-24,2019-01-24,2019-10-01,ISSUED,A2,,N,605 THIRD AVENUE FEE LLC,NOT APPLICABLE,THIRD AVENUE
MANHATTAN,40.811565,-73.950451,2019-01-24,2019-02-20,2019-06-11,ISSUED,DM,,N,CENTER FOR URBAN COMMUNITY SERVI,OFF-SITE,WEST 127TH STREET
MANHATTAN,40.749076,-73.975682,2019-01-24,2019-01-24,2019-10-01,ISSUED,A2,,N,605 THIRD AVENUE FEE LLC,,THIRD AVENUE
MANHATTAN,40.708486,-74.011113,2019-01-24,2019-01-24,2019-06-13,ISSUED,A2,,N,TRINITY CENTRE LLC.,NOT APPLICABLE,BROADWAY
MANHATTAN,40.708486,-74.011113,2019-01-24,2019-01-24,2019-06-13,ISSUED,A2,,N,TRINITY CENTRE LLC.,,BROADWAY
BRONX,40.829814,-73.916098,2019-01-24,2019-01-24,2019-08-25,ISSUED,A1,YES,N,MAZDA HOLDING LLC,NOT APPLICABLE,MORRIS AVENUE
QUEENS,40.751594,-73.870699,2018-10-09,2018-10-09,2019-09-06,ISSUED,A2,,N,JIANG'S TEA INC,NOT APPLICABLE,37 AVE
QUEENS,40.748674,-73.942323,2019-01-24,2019-01-24,2019-07-02,ISSUED,A2,,N,"25-14 43RD AVENUE, LLC",NOT APPLICABLE,CRESCENT STREET
QUEENS,40.766029,-73.812964,2018-11-15,2018-11-15,2019-11-15,ISSUED,A1,,N,,NOT APPLICABLE,MURRAY STREET
BRONX,40.837969,-73.927768,2018-11-15,2018-11-15,2019-09-01,ISSUED,A2,YES,N,NOSOTROS HDFC,NOT APPLICABLE,WEST 167 STREET
BROOKLYN,40.6822,-73.957502,2018-10-12,2018-10-12,2018-12-11,ISSUED,A2,YES,N,30 - 32 CLAVER PLACE LLC,NOT APPLICABLE,CLAVER PLACE
MANHATTAN,40.817319,-73.945938,2018-12-24,2018-12-24,2019-12-24,ISSUED,A2,YES,N,,NOT APPLICABLE,FREDERICK DOUGLASS BLVD.
QUEENS,40.713323,-73.793222,2018-11-15,2018-11-15,2018-12-08,ISSUED,A1,YES,N,,USE UNDER 300 CU.YD,HENLEY ROAD
MANHATTAN,40.795085,-73.970685,2018-11-15,2018-11-15,2019-11-15,ISSUED,A2,YES,N,229 OWNERS CORP,NOT APPLICABLE,WEST 97TH STREET
QUEENS,40.723639,-73.901397,2018-11-15,2018-11-15,2019-11-15,ISSUED,NB,YES,N,"FABIAN ORGANIZATION, LLC",USE UNDER 300 CU.YD,PERRY AVENUE
QUEENS,40.767275,-73.816466,2018-11-15,2018-11-15,2019-11-15,ISSUED,A2,YES,N,,NOT APPLICABLE,149 PLACE
MANHATTAN,40.768632,-73.993368,2018-12-24,2018-12-24,2019-12-24,ISSUED,A2,,N,SPITIP 619W54 PROPERTY OWNER LLC,,WEST 54TH STREET
MANHATTAN,40.737882,-73.988749,2018-11-15,2018-11-15,2019-02-08,ISSUED,A2,,N,230 PAS LLC,NOT APPLICABLE,PARK AVENUE SOUTH
MANHATTAN,40.735131,-73.979649,2019-01-24,2019-01-24,2019-06-30,ISSUED,A2,,N,BPP PCV OWNER LLC,,FIRST AVENUE
QUEENS,40.706512,-73.908416,2018-10-12,2018-10-12,2019-10-12,ISSUED,A2,YES,N,,NOT APPLICABLE,WOODWARD AVE
MANHATTAN,40.711425,-74.015442,2019-06-03,2019-06-03,2019-11-01,ISSUED,A2,,N,BROOKFIELD PROPERTIES ONE WFC CO,NOT APPLICABLE,LIBERTY STREET
QUEENS,40.762751,-73.800841,2018-11-15,2018-11-15,2019-06-02,ISSUED,A2,YES,N,36-14 165TH REALTY LLC,NOT APPLICABLE,165 STREET
QUEENS,40.748723,-73.749356,2018-11-15,2018-11-15,2019-11-15,ISSUED,NB,YES,N,,USE UNDER 300 CU.YD,228 STREET
QUEENS,40.757915,-73.787456,2018-11-15,2018-11-15,2019-11-15,ISSUED,A2,,N,FRANK BIORDI TRUST,NOT APPLICABLE,NORTHERN BLVD
MANHATTAN,40.722589,-74.004163,2018-11-15,2018-11-15,2019-11-06,ISSUED,A2,YES,N,42 GRAND LLC,NOT APPLICABLE,GRAND STREET
MANHATTAN,40.775466,-73.955991,2018-11-15,2018-11-15,2019-07-19,ISSUED,A2,YES,N,FRADON REALTY LLC,NOT APPLICABLE,EAST 81ST STREET
BRONX,40.81118,-73.915432,2018-10-12,2018-10-12,2019-02-04,ISSUED,A2,YES,N,NEW YORK CITY HOUSING AUTHORITY,NOT APPLICABLE,EAST 144 STREET
BRONX,40.889731,-73.844578,2018-11-15,2019-01-04,2019-02-02,ISSUED,A2,YES,N,50166 EQUITIES LLC,NOT APPLICABLE,STRANG AVENUE
BROOKLYN,40.631833,-73.991843,2018-11-15,2018-11-15,2019-02-22,ISSUED,A2,YES,N,HEB REALTY LLC,NOT APPLICABLE,14TH AVENUE
MANHATTAN,40.711425,-74.015442,2019-06-03,2019-06-03,2019-11-01,ISSUED,A2,,N,BROOKFIELD PROPERTIES ONE WFC CO,,LIBERTY STREET
MANHATTAN,40.711425,-74.015442,2019-06-03,2019-06-03,2019-11-01,ISSUED,A2,,N,BROOKFIELD PROPERTIES ONE WFC CO,,LIBERTY STREET
QUEENS,40.741916,-73.946125,2019-06-03,2019-06-03,2019-06-12,ISSUED,A1,,N,"LIC 73 OWNER, LLC",NOT APPLICABLE,49TH AVENUE
QUEENS,40.762751,-73.800841,2018-11-15,2018-11-15,2019-06-02,ISSUED,A2,YES,N,36-14 165TH REALTY LLC,NOT APPLICABLE,165 STREET
MANHATTAN,40.7892,-73.968748,2018-11-15,2018-11-15,2019-01-12,ISSUED,A2,YES,N,TWO TEN NET TEN LLC,NOT APPLICABLE,WEST 91 STREET
MANHATTAN,40.770492,-73.94799,2018-10-09,2018-10-09,2019-10-02,ISSUED,A2,YES,N,,NOT APPLICABLE,EAST END AVENUE
MANHATTAN,40.726379,-73.993571,2018-11-15,2018-11-15,2019-11-06,ISSUED,A1,YES,N,,NONE,BOND STREET
MANHATTAN,40.737882,-73.988749,2018-11-15,2018-11-15,2019-02-08,ISSUED,A2,,N,230 PAS LLC,NOT APPLICABLE,PARK AVENUE SOUTH
QUEENS,40.757435,-73.779928,2018-11-15,2018-11-15,2019-02-19,ISSUED,A2,,N,,NOT APPLICABLE,45 AVENUE
BROOKLYN,40.57706,-73.963962,2018-11-15,2018-11-15,2019-06-29,ISSUED,A2,YES,N,314 BRIGHTON BEACH AVE LLC,NOT APPLICABLE,BRIGHTON BEACH AVENUE
QUEENS,40.757435,-73.779928,2018-11-15,2018-11-15,2019-02-19,ISSUED,A2,,N,,NOT APPLICABLE,45 AVENUE
QUEENS,40.757435,-73.779928,2018-11-15,2018-11-15,2019-11-15,ISSUED,A2,,N,,NOT APPLICABLE,45 AVENUE
MANHATTAN,40.737882,-73.988749,2018-11-15,2018-11-15,2019-11-15,ISSUED,A2,,N,230 PAS LLC,NOT APPLICABLE,PARK AVENUE SOUTH
QUEENS,40.745018,-73.821465,2018-11-15,2018-11-15,2019-11-15,ISSUED,A1,YES,N,,ON-SITE,146 STREET
MANHATTAN,40.787323,-73.974133,2018-11-15,2018-11-20,2019-04-23,ISSUED,A2,YES,N,,NOT APPLICABLE,WEST 86 STREET
BROOKLYN,40.606131,-74.000763,2018-11-15,2018-11-15,2019-04-26,ISSUED,A2,,N,EYE VISTA OPTOMETRY OF 86 LLC,NOT APPLICABLE,86 STREET
BROOKLYN,40.623132,-73.949107,2018-11-15,2018-11-15,2019-10-13,ISSUED,A2,YES,N,,NOT APPLICABLE,EAST 27TH STREET
MANHATTAN,40.80713,-73.94966,2018-11-15,2018-11-15,2019-01-03,ISSUED,A2,YES,N,ABJ MILANO LLC,NOT APPLICABLE,ADAM CLAYTON POWELL BLVD
BROOKLYN,40.610041,-73.904835,2018-11-15,2018-11-15,2019-11-15,ISSUED,A1,YES,N,,NOT APPLICABLE,BARLOW DRIVE NORTH
QUEENS,40.560019,-73.910495,2018-11-15,2018-11-15,2019-11-15,ISSUED,A2,YES,N,BREEZY POINT COOPERATIVE INC,NOT APPLICABLE,REID AVENUE
STATEN ISLAND,40.59463,-74.065955,2018-11-15,2018-11-15,2019-11-15,ISSUED,A2,YES,N,,NOT APPLICABLE,AUSTIN AVENUE
BROOKLYN,40.610041,-73.904835,2018-11-15,2018-11-15,2019-10-13,ISSUED,A1,YES,N,,NOT APPLICABLE,BARLOW DRIVE NORTH
QUEENS,40.72365,-73.901375,2018-11-15,2018-11-15,2019-11-15,ISSUED,NB,YES,N,"FABIAN ORGANIZATION, LLC",USE UNDER 300 CU.YD,PERRY AVENUE
MANHATTAN,40.757674,-73.985121,2018-12-24,2018-12-24,2019-12-24,ISSUED,A2,,N,"44-45 BROADWAY LEASING CO, LLC",NOT APPLICABLE,BROADWAY
MANHATTAN,40.80713,-73.94966,2018-11-15,2018-11-15,2019-01-03,ISSUED,A2,YES,N,ABJ MILANO LLC,NOT APPLICABLE,ADAM CLAYTON POWELL BLVD
QUEENS,40.769614,-73.928012,2018-11-15,2018-11-15,2019-09-15,ISSUED,DM,,N,KATSIGIANNIS FAMILY TRUST,ON-SITE,21ST STREET
QUEENS,40.766976,-73.775792,2018-11-15,2018-11-15,2019-11-15,ISSUED,A2,YES,N,,NOT APPLICABLE,211 ST
QUEENS,40.560019,-73.910495,2018-11-15,2018-11-15,2019-11-15,ISSUED,A2,YES,N,BREEZY POINT CO-OP,USE UNDER 300 CU.YD,REID AVENUE
QUEENS,40.680273,-73.775359,2018-11-15,2018-11-15,2019-09-19,ISSUED,A2,,N,"BOLLA EM REALTY, LLC",USE UNDER 300 CU.YD,BAISLEY BLVD
